month,datasets_created,Agency
2020-11-01,2044,EPA
2020-12-01,192,EPA
2021-01-01,72,EPA
2021-02-01,42,EPA
2021-03-01,87,EPA
2021-04-01,67,EPA
2021-05-01,34,EPA
2021-06-01,47,EPA
2021-07-01,28,EPA
2021-08-01,22,EPA
2021-09-01,22,EPA
2021-10-01,36,EPA
2021-11-01,29,EPA
2021-12-01,20,EPA
2022-01-01,69,EPA
2022-02-01,17,EPA
2022-03-01,21,EPA
2022-04-01,35,EPA
2022-05-01,36,EPA
2022-06-01,21,EPA
2022-07-01,37,EPA
2022-08-01,22,EPA
2022-09-01,25,EPA
2022-10-01,34,EPA
2022-11-01,39,EPA
2022-12-01,34,EPA
2023-01-01,23,EPA
2023-02-01,34,EPA
2023-03-01,39,EPA
2023-04-01,40,EPA
2023-05-01,30,EPA
2023-06-01,26,EPA
2023-07-01,33,EPA
2023-08-01,38,EPA
2023-09-01,59,EPA
2023-10-01,112,EPA
2023-11-01,35,EPA
2023-12-01,43,EPA
2024-01-01,57,EPA
2024-02-01,40,EPA
2024-03-01,34,EPA
2024-04-01,37,EPA
2024-05-01,39,EPA
2024-06-01,42,EPA
2024-07-01,33,EPA
2024-08-01,45,EPA
2024-09-01,49,EPA
2024-10-01,33,EPA
2024-11-01,44,EPA
2024-12-01,23,EPA
2025-01-01,55,EPA
2025-02-01,2051,EPA
2025-03-01,105,EPA
2025-04-01,96,EPA
2025-05-01,69,EPA
2025-06-01,60,EPA
2025-07-01,54,EPA
2025-08-01,70,EPA
2025-09-01,48,EPA
2025-10-01,32,EPA
